ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source
2026-09-05T22:32:14,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12040.679,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:32:27,google.com,https://google.com/,22,0.747,41.084,58.589,106.304,0.087,224.156,847,301,cold,0,1,,,real
2026-09-05T22:32:28,cloudflare.com,https://cloudflare.com/,22,139.479,45.297,50.376,140.723,0.132,396.33,1156,301,cold,0,1,,,real
2026-09-05T22:32:30,expired.badssl.com,https://expired.badssl.com/,22,0.783,220.708,,,,465.281,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:32:31,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.812,232.527,,,,474.881,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:32:33,github.com,https://github.com/duong-dan-loi-404-test,22,19.988,75.306,80.075,155.293,313.216,663.712,271666,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:32:34,httpbin.org,https://httpbin.org/status/500,22,313.54,271.947,504.445,269.634,0.087,1378.374,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:32:37,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12037.163,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:32:50,google.com,https://google.com/,22,0.865,39.941,55.849,104.801,0.164,218.134,847,301,cold,0,1,,,real
2026-09-05T22:32:51,cloudflare.com,https://cloudflare.com/,22,0.831,58.537,45.235,126.231,0.104,251.043,1158,301,cold,0,1,,,real
2026-09-05T22:32:52,expired.badssl.com,https://expired.badssl.com/,22,0.72,217.815,,,,463.016,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:32:54,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.839,219.724,,,,464.821,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:32:55,github.com,https://github.com/duong-dan-loi-404-test,22,0.806,75.47,81.731,155.4,316.579,653.172,271673,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:32:57,httpbin.org,https://httpbin.org/status/500,22,0.664,273.329,552.511,267.276,0.065,1111.127,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:32:59,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12043.032,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:33:12,google.com,https://google.com/,22,5.311,40.312,58.813,104.347,0.068,225.946,847,301,cold,0,1,,,real
2026-09-05T22:33:13,cloudflare.com,https://cloudflare.com/,22,0.794,65.107,62.252,153.933,0.162,298.949,1156,301,cold,0,1,,,real
2026-09-05T22:33:14,expired.badssl.com,https://expired.badssl.com/,22,1.023,217.363,,,,456.547,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:33:16,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.689,219.598,,,,461.345,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:33:17,github.com,https://github.com/duong-dan-loi-404-test,22,22.127,89.233,70.292,133.546,258.399,590.78,271682,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:33:19,httpbin.org,https://httpbin.org/status/500,22,0.787,260.734,520.786,261.727,0.121,1060.702,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:33:21,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12060.84,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:33:34,google.com,https://google.com/,22,0.767,52.893,71.085,129.707,0.097,275.605,847,301,cold,0,1,,,real
2026-09-05T22:33:35,cloudflare.com,https://cloudflare.com/,22,0.741,45.97,55.869,137.817,0.102,258.075,1155,301,cold,0,1,,,real
2026-09-05T22:33:37,expired.badssl.com,https://expired.badssl.com/,22,0.991,220.747,,,,469.614,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:33:38,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.692,218.501,,,,458.523,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:33:40,github.com,https://github.com/duong-dan-loi-404-test,22,1.061,73.885,79.626,150.391,374.635,696.236,271655,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:33:41,httpbin.org,https://httpbin.org/status/500,22,30.319,265.738,536.848,356.097,0.087,1206.409,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:33:43,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12046.492,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:33:56,google.com,https://google.com/,22,1.092,39.695,57.247,101.737,0.079,229.572,847,301,cold,0,1,,,real
2026-09-05T22:33:58,cloudflare.com,https://cloudflare.com/,22,6.882,54.442,46.372,129.128,0.086,254.283,1161,301,cold,0,1,,,real
2026-09-05T22:33:59,expired.badssl.com,https://expired.badssl.com/,22,1.051,219.912,,,,467.928,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:34:00,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.71,222.036,,,,472.189,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:34:02,github.com,https://github.com/duong-dan-loi-404-test,22,0.691,64.619,70.964,136.345,266.901,560.258,271673,404,cold,0,0,HTTP,status_404,real
